TIPO ,SERIE,NUMERO,NOMBRE,AÑO,MEDIDAS,PESO,DESCRIPCION,Precio U$S,ESTADO,DESTINATARIO,TECNICA,VIDEO
OBRAS AÑO,2019,0011,La muerte y    La Vida,2019,"Ancho: 70cm, Alto: 150 cm, Fondo: 30 cm",15 kg,"En esos ojos ciegos de espanto
En esas bocas abiertas
En esos cuerpos fantasmales

Habita sin embargo
La pulsión vital
De volver de los infiernos
De derrotar al olvido
De renacer

Juan Pablo Trombetta",USD 2.200, ,,"Técnicas mixtas: ensamblado, tallado y escultura",https://youtu.be/jS6kfcAch50
OBRAS AÑO,2019,0012,La Manada,2019,"Ancho: 70 cm, Alto: 58 cm, Fondo: 18 cm. ",5 kg.,"Una manada de lobos: los primeros  son los viejos o enfermos, quienes dan el ritmo a toda la manada. Si fuera al revés, serían dejados atrás, perdiendo el contacto con la manada. En caso de una emboscada ellos serían sacrificados. Luego siguen los FUERTES, en la línea del frente. En el centro está el resto de los miembros de la manada, luego de el último va solo, el alfa. Él lo controla todo desde la parte trasera. En esa posición puede verlo todo, decidir la dirección. Él ve a todos los de la manada. La manada se mueve según el ritmo de los ancianos y ayudándose el uno al otro y cuidándose el uno al otro.
",USD 500,, ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2019,0013,La Banda de Jazz,2019,"Ancho:44 cm, Alto: 50 cm, Fondo: 22 cm.    .",4 kg.,"JAZZ-BAND
Ritmo cortado. 
Luces vibrantes.
Campanas histéricas. 
Astros fulminantes.
Erotismos. 
Licores rebosantes.
Juego de niños. 
Acordes delirantes.
Jazz-band. 
Rascacielos. 
Diáfanos cristales.
Exóticos murmullos.
Quejido de metales.

Concha Mendez
",USD 500,D,Viviana Koldorf ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2019,0014,Los 44 del San Juan,2019,"Ancho: 50 cm, Alto: 60 cm, Fondo: 10 cm.", 3 kg,"Homenaje a los 44 héroes del submarino argentino ARA San Juan, hundido en las profundidades del Océano Atlantico.  ",USD 300,D,Jorge Alberto Acuña  CABA,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2019,0015,El Pelícano,2019,"Ancho: 32 cm, Alto: 40 cm, Fondo: 11 cm ",1.7 Kg.,,USD 150,D,Elis                    CABA,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2019,0016,Esperando,2019,"Ancho: 22 cm, Alto: 49 cm, Fondo: 9 cm",1.1 Kg.  ,,USD 100,V,Galería FO Objetos y Teorías,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2019,0017,Los de Atrás,2019,"Ancho: 40 cm, Alto: 45 cm, Fondo:10 cm ",1.7 Kg. ,Doble Faz,USD 150,V,Galería FO Objetos y Teorías,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2019,0018,Juntos,2019,"Ancho: 62 cm, Alto: 33 cm, Fondo:8 cm",1.8 Kg,,USD 180,V,Monica Tucuman,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2019,0019,Amigo,2019,"Ancho: 31 cm, Alto: 33 cm, Fondo:12 c",1.5 Kg.  , ,USD 150,D,Aurelia  CABA,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2019,0020,La Familia,2019,"Ancho: 44 cm, Alto: 34 cm, Fondo: 6 cm","1.3 Kg.   
",,USD 240,D, Tony Postolivo - Mar Azul,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2019,0021,El Fuerte,2019,"Ancho: 30 cm, Alto: 80 cm, Fondo: 35 cm","8 Kg.    
", ,USD 375,C,?,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2019,0022,Huelga,2019,"Ancho: 53 cm, Alto:55 cm, Fondo: 16 cm", 5 Kg.    ,"Las manos en alto,
las bocas abiertas,
los troncos exaltados, 
las piernas en pisoteo. 
¡Tanta energía derramada! 
La ventana de la fábrica 
continúa cerrada.
La incomodidad no basta 
para derrotar la impunidad. 
Las fuerzas se agotan
ante la indiferencia
Poderes ocultos se enlazan. 
La ventana de la fábrica 
continúa cerrada
 
Los gritos del reclamo 
inauguran un diálogo otro. 
El reclamo justo cae 
en manos del deshonesto. 
La ventana de la fábrica crujiendo se abre.
Las mentiras
              los acaricia. 
Y cuando la ventana 
se cierra,
             las mandíbulas caen.


Graciela Neira Lage
",USD 330,V, Diego Prigollini IG,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2019,0023,La Voz de la Conciencia,2019,"Ancho: 30 cm, Alto:81 cm, Fondo: 10 cm",5 Kg.   ,"Complejo engranaje
de imperfecciones perfectas.
Rostros y cuerpos
                   se escudan.
Laberinto que se burla 
de toda inteligencia. 
Un nadie
        mira de reojo,
y con su cuerpo de martillo
                       ¡aplasta!
Alguien desde abajo 
se asoma,
        ve y calla. 
Se queda en su cueva.
Entidades amontonadas
en su refugio fallido, 
lanzan sus gritos
                         agujereados.

 
Gritos que se suman, 
se agolpan
         ¡quieren nacer!
En las tinieblas
una barrera se alza, 
todos se lanzan, 
algunos pasan.
Los que llegan a Ella, disfrutan el remanso. 
La conciencia les presta
                   su voz.
Los nombra
           y los hace ser.
  

Graciela Neira Lage
",USD 440,, ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2019,0024,Familia I,2019,"Ancho: 25 cm, Alto: 35 cm, Fondo: 9 cm","400 g.
  ",,USD 120,D,Nestor Salama  CABA,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2019,0025,Familia II,2019,"Ancho: 18 cm, Alto:37 cm, Fondo: 8 cm","1.1Kg.
",,USD 70,D,"Jofre, Pintor","Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2019,0026,Memoria,2019,"Ancho: 88 cm, Alto:72 cm, Fondo: 19 cm.","9 Kg.
",,USD 400,V,Diego Prigollini,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2020,0027,Druidas ,2020,"Ancho: 24 cm, Alto:56 cm, Fondo: 17 cm.","3 Kg.
",,USD 200,,,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2020,0028,El Volcán,2020,"Ancho: 22 cm, Alto:48 cm, Fondo: 10 cm. 
 Peso : 1.1 Kg. ","3 Kg.
",,USD 150,V,NOEMI  150.000,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2020,0029,Escaleras hacia …,2020,"Ancho : 26 cm, Alto: 90 cm, Fondo: 26 cm.  Peso: 7kg",7 kg.,"Cada peldaño se hace mirador.
Los cuerpos a distancia.
Los rostros suspendidos.
Pisadas fuertes,
temerosas, esperanzadas,
decepcionadas, animadas.
El ascenso trae el peso
      de lo andado.
El horizonte es el abismo,
el soporte: la columna,
el impulso: la ilusión.
Conviven percepciones,
en silencios hacia…
La fatiga los pone
  a hablar…
Las voces se confunden,
y entre nieblas ascienden.
Arriba los esperan.
Van llegando,
  a tiempo.
Al tiempo propio,
ese que se esfuma
en la cima.
La dimensión es otra,
desconocida.
Los sin nombre los reciben.
A cada cual
  su llave.
Para hallar su puerta
entre las nuevas-milenarias
                                              maderas.
De madera son,
allí retornan,
allí serán:
                                      en la eternidad.

            Graciela Neira Lage











",USD 400, , ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2020,0031,Rastafari,2020,"Ancho: 52 cm, Alto:82 cm, Fondo: 10 cm. 
",1.2 kg. ????,VER EL ALTO,USD 300,D,Regalada Jorge,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2020,0032,En mi cabeza,2020,"Ancho: 47 cm, Alto:67 cm, Fondo: 12 cm. ","5 Kg.
  ",,USD 380, , ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2020,0033,Pasado y Presente,2020,"Ancho: 30 cm, Alto:24 cm, Fondo: 9 cm. ","600 g.
  ",,USD 85,D,Dirección de  Cultura  - Laprida,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2020,0034,Fiesta,2020,"Ancho: 117 cm, Alto:77 cm, Fondo: 16 cm.",10 Kg.,,USD 1.200,, ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2020,0035,Mis Monstruos,2020,"Ancho: 45 cm, Alto: 30 cm, Fondo: 16 cm. ",1.2 kg.,,USD 140,D,Graciela Neira  CABA,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2020,0036,A la deriva,2020,Ancho: 67 cm Alto:46 cm Fondo: 20 cm ,"5 Kg.
  ",,USD 520,C,Galería Caracoles - Jose Ignacio,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2020,0037,Cuarentena,2020,Ancho: 55 cm   Alto : 70 cm   Fondo: 16 cm,"11 Kg.
  ","Familia en cuarentena por el COVID-19, mirando por la ventana",USD 340, ,,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2020,0038,Con nuestro Ancestro,2020,Ancho: 28 cm    Alto : 28 cm   Fondo: 22 cm.,2 Kg.,,USD 140,,,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2020,0039,Tierra Prometida,2020,Ancho: 33 cm   Alto : 66 cm   Fondo: 13 cm,4 Kg.,,USD 220,V,Moka Moss,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2020,0040,Distanciamiento,2020,Ancho: 100 cm   Alto : 52 cm   Fondo: 14 cm,"8 Kg.    
",,USD 280,D,,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2020,0041,King,2020,"Ancho: 60 cm, Alto:55 cm, Fondo: 16 cm",5.5 kg,,USD 520,C,Galería Caracoles - Jose Ignacio,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2020,0042,A salvo,2020,Ancho: 29 cm   Alto : 67 cm    Fondo: 17 cm,2.2 Kg.,,USD 250,,,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2020,0043,Raices,2020,Ancho: 46 cm   Alto : 72 cm    Fondo: 20 cm,5 Kg.,,USD 370, ,,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2021,0044,Navegando al Futuro,2021,Ancho: 45 cm Alto: 54 cm Fondo: 23 cm ,3.1 Kg,,USD 350,C,Bertuzzi Atelier,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2020,0045,Familia III,2020,Ancho: 22 cm Alto:43 cm Fondo: 8 cm,1.1 kg  ,,USD 100,D,Marcelo Zilenczi  Vte. López,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2020,0046,Familia III-A,2020,Ancho: 20 cm Alto:65 cm Fondo: 7 cm.,1 kg  ,,USD 80,V,Facundo Zarabia,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2021,0047,Familia IV,2021,Ancho: 16 cm Alto:48 cm Fondo: 11 cm.," 
2 kg.",,USD 110, , ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2021,0048,Familia V,2021,Ancho: 22 cm Alto:32 cm Fondo: 8 cm.,450 g.,,USD 80,V,Marina,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2021,0049,Familia VI,2021,Ancho: 20 cm Alto:34 cm Fondo: 10 cm. ,"600 g.
  ",,USD 80,V,"Guillermina, TETE","Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2021,0050,Familia VII,2021,Ancho: 16 cm Alto:26 cm Fondo: 9 cm.,320 g.,,USD 65,V,Gustavo Gabilondo,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2021,0051,Otra Oportunidad,2021,Ancho: 120 cm Alto: 220 cm Fondo: 35 cm.,35 Kg.,"Esta obra nace de lo descartado: maderas erosionadas, troncos y objetos, fragmentos de un pasado olvidado que el río devuelve como testigos mudos del tiempo. Con ellos toma forma un grupo de refugiados: figuras detenidas en la espera, cargando historias de pérdida, de huida, pero también de esperanza.

“Otra Oportunidad” es un homenaje a quienes se ven forzados a dejarlo todo en busca de lo esencial: seguridad, dignidad, futuro. Desde aquello que otros desecharon, emerge esta escena como símbolo de resiliencia y reconstrucción. Así como los materiales encontraron una nueva vida en esta obra, cada persona que migra anhela también eso: una nueva oportunidad.
",USD 5.000,,Jorge Acuña,"Técnicas mixtas: ensamblado, tallado y escultura",https://www.youtube.com/watch?v=fY1AbM1BkcY
OBRAS AÑO,2021,0052,La calesita de la vida,2021,Ancho: 25 cm Alto: 35 cm Fondo: 25 cm.,5kg,"La calesita de la vida
Cuando encontré en la costa del Río un pedazo de bobina oxidada de un viejo motor, lo primero que se me vino a la ment fué una calesita. Al comenzar su armado, creando nuevos personajes a su alrededor, descubrí entre mis cosas un volante de una antigua esclusa que encontré en una playa de la Isla Martín Garcia, en un viaje que hice 50 años después de haber vivido allí en mi infancia, a fines de los 60.  Me parreció adecuado adaptarlo a mi calesita, ya que simbolizaba para mi las vueltas de la vida, que cada tanto nos reencuentran con nuestro pasado. ",USD 230,V," Jorge Lantos , Cuñado Prigollini","Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2021,0053,Saliendo a flote,2021,Ancho:85 cm Alto: 90 cm Fondo:12 cm.,5kg,A,USD 750,, ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2021,0054, Los Olvidados,2021,Ancho:34 cm Alto: 60 cm Fondo:22 cm ,10 Kg., ,USD 400,C,Galería Caracoles - Jose Ignacio,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2021,0055,Familia VIII,2021,Ancho:30 cm Alto: 41 cm Fondo:13 cm ,2 Kg, ,USD 110,V,WHATS CHACU Alejandra 21_11_21,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2021,0056, Familia IX,2021,Ancho:20 cm Alto: 37 cm Fondo:10 cm , 2 Kg., ,USD 80,V,Marina,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2021,0057, Familia X,2021,Ancho: 30 cm Alto: 38 cm Fondo:11 cm ,1.5 Kg.  , ,USD 90,D,Julio Spinelli,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2021,0058, Familia XI,2021,Ancho:37 cm Alto: 47 cm Fondo:13 cm ,1.8 Kg, ,USD 120,V,XXXX,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2022,0059, Familia XII,2022,"Ancho:29 cm    Alto: 33 cm     Fondo:8 cm    
","1.3 Kg.   
", ,USD 80, , ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2022,0060, Familia XIII,2022,"Ancho: 33 cm Alto: 31 cm Fondo:9 cm   
",1.4 Kg, ,USD 100,D,"FO  ROTA, la tiene EVA","Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2022,0061,Familia XIV,2022,Ancho: 23 cm Alto: 23 cm Fondo: 6 cm,1 Kg., ,USD 50,V,"Fernando Aveldaño, Rosario","Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2022,0062,Grito,2022,Ancho:52 cm Alto: 70 cm Fondo:18 cm ,"3 Kg.
", ,USD 440,C,Galería Caracoles - Jose Ignacio,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2022,0063,Vuelos,2022,Ancho: 92 cm  Alto: 104  cm Fondo: 33 cm,20 kg ,,USD 1.500, ,,"Técnicas mixtas: ensamblado, tallado y escultura",https://youtu.be/GObnhTRGwYQ
OBRAS AÑO,2022,0064,Alegría II,2022,Ancho:  23 cm    Alto: 33 cm     Fondo:  10 cm  ,"1.3 Kg.   
",,USD 80,,,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2022,0065,Alegría II,2022,Ancho: 28 cm Alto: 40 cm              Fondo 12 cm,1.7 Kg,,USD 70,V,Guido dilagiovanna,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2022,0066,Alegría IV,2022,Ancho: 20 cm   Alto: 42 cm Fondo:13  cm ,800 gs., ,USD 130,V,Galería Caracoles - Jose Ignacio,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2022,0067,Alegría V,2022,Ancho:  21  cm    Alto: 30 cm  Fondo:  10 cm  ,1.2 Kg., ,USD 75,V,Alejandra Mota,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2022,0068,Alegría VI,2022,Ancho: 24 cm      Alto: 30 cm    Fondo:9 cm ,2 Kg., ,USD 130,V,Galería Caracoles - Jose Ignacio,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2022,0069,Oveja Negra,2022,Ancho:37 cm       Alto: 37 cm Fondo:11 cm ,2.2 Kg., ,USD 180,V,BADA,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2022,0070,Alegría VII,2022,Ancho: 24 cm      Alto: 55 cm   Fondo:18 cm ,2.4 Kg, ,USD 200,V,Galería Caracoles - Jose Ignacio,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2022,0071,Monada en Libertad,2022,Ancho:74 cm       Alto: 43 cm Fondo:10 cm ,3 Kg,,USD 350,,,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2022,0072,Mi Arca,2022,Alto 98:   cm         Ancho: 65  cm        Fondo 19:   cm,7 Kg.,"“Mi Arca”, 3º Premio – LXIII Salón de Otoño, Ateneo Esteban Echeverría, San               Fernando
",USD 1.000,,,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2022,0073,ALEGRIA VIII,2022,Alto 98:   cm         Ancho: 65  cm        Fondo 19:   cm,680 gr.,,USD 70,V,2/1/2023 Adriana Gerzonswit ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2022,0074,Familia XV,2022,Alto:  36 cm         Ancho: 21  cm        Fondo: 10  cm,625 gr,,USD 70,V,"VENDIDA  PAMPAS Enrique, La Aldea","Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2022,0075,Alegría IX,2022,Alto: 33  cm         Ancho: 23  cm        Fondo:7   cm   Peso : 560 gr.,560 gr.,,USD 70,V,? A donde esta ?,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2022,0076,Alegría X,2022,Alto: 34  cm         Ancho:14  cm        Fondo:9   cm    .,750 gr.,,USD 70,V,"Laura Perez Morales, 10.000$ 23/12/22","Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2022,0077,Familia XVI,2022,Alto: 15  cm         Ancho: 22 cm        Fondo: 7  cm,300 gr.,,USD 40,D,"Donada, Dolores","Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2022,0078,Susto II,2022,Alto: 16  cm         Ancho: 22  cm        Fondo: 8  cm   Peso : 300 gr.,300 gr., ,USD 50,D,FO,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2023,0079,Viejo Tren ,2023,Ancho:  23 cm    Alto: 33 cm  Fondo:  10 cm  ,,"“Viejo Tren”, 3º Premio – Concurso ArteNew, Rotary Club de Villa Urquiza
",USD 1.000,, ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2023,0080,Familia XVII,2023,Alto:  21cm         Ancho: 12cm        Fondo:  6  cm,900 gr.,,USD 40,V,?,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2023,0081,Familia XVIII,2023,Alto:  33 cm         Ancho: 14 cm        Fondo:  8  cm,500 gr.,Apoyar o Colgar,USD 50,V,FO,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2023,0082,Familia XIX,2023,Alto: 40  cm         Ancho:27 cm        Fondo: 12 cm,600 gr,,USD 70,V,Guillermina TETE,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2023,0083,Alegría XI,2023,Alto:   29 cm         Ancho: 24 cm        Fondo:  9 cm,500 gr.,,USD 75,V,FO,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2023,0084,Familia XX,2023,Alto: 27  cm         Ancho: 19 cm        Fondo:  9 cm,600 gr,,USD 75,V,FO,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2023,0086,Asombro I,2023,Alto:  29 cm         Ancho: 14 cm        Fondo: 12 cm,500 gr.,,USD 70,V,FO,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2023,0087,Asombro II,2023,Alto:  26 cm         Ancho: 26 cm        Fondo: 12 cm, ,,USD 80,V,Cecilia Di…,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2023,0088,Asombro III,2023,Alto:  24 cm         Ancho: 20 cm        Fondo: 10 cm,700 gr.,,USD 70,V, DONDE ESTA ?,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2023,0089,Asombro IV ,2023,Alto:  29 cm         Ancho: 24 cm        Fondo: 12 cm,1 Kg.,,USD 70,V,Carlos Calleja - Teatro colon,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2023,0090,Asombro V,2023,Alto:  27 cm         Ancho: 20 cm        Fondo: 6 cm,650 gr.,,USD 75,V,XXXX,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2023,0092,Amigos I,2023,Alto:  30 cm         Ancho: 20 cm        Fondo: 9 cm,,,USD 90,,,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2023,0093,YO !!,2023,Alto:  44 cm         Ancho: 23 cm        Fondo: 14 cm,,,USD 130,,,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2023,0094,Calentando el Alma I,2023,Alto:  60 cm         Ancho:80 cm        Fondo: 20 cm,, ,USD 550, , ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2023,0095,Calentando el Alma II,2023,Alto:  48 cm         Ancho: 36 cm        Fondo: 14 cm,,,USD 380,C,Bertuzzi Atelier,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2023,0096,Amigos II,2023,Alto:  50 cm         Ancho: 23 cm        Fondo: 8 cm,,Apoyar o Colgar,USD 140,,,"Técnicas mixtas: ensamblado, tallado y escultura",
